,label,product_ids,numbers,invoice_ids,nouns,verbs,adjectives,conjunctions,small_blocks,med_blocks,large_blocks,total_words
0,email,0.0,8.49249847622,0.0,115.348963585,25.6479907319,46.5010777739,1.20278659397,8.32014334916,8.82582242715,3.98379736393,191.941902906
1,email,0.0,8.53153197858,0.0,92.2542731295,23.1466995646,19.3819195083,0.0,3.68331119747,6.94944665639,6.76794502727,119.653185297
2,email,0.0,4.80111120542,0.0,66.6170185322,31.5071667101,16.071230114,0.0,5.98052628536,6.45275642824,9.91170977713,108.097488002
3,email,0.0,7.66778934247,0.0,154.160270563,25.6973076817,47.468816967,1.21739293051,5.58909963708,6.41158709857,7.62946192039,236.012078527
4,invoice,0.0,22.4057024583,0.0,47.3988835792,10.1066184374,14.9686913453,0.0,28.5325375032,7.15274973304,6.75295299247,95.8345773053
5,email,0.0,8.81786076495,0.0,45.0294198694,11.2028825338,13.4873820944,0.0,0.0,3.4200234995,3.79590317657,90.2026106549
6,invoice,0.0,13.154978136,0.0,14.8272379087,4.58854780253,7.60644749137,0.0,13.4748285581,12.5799444101,1.48627862359,60.9908582655
7,invoice,0.0,5.76618875838,0.0,33.0778349081,4.31129469421,9.52777639213,0.0,14.3047447927,7.17766294719,4.07785585394,55.7078861754
8,invoice,0.0,16.2080218974,0.0,40.1779372158,8.87052332865,18.9046011736,0.0,24.2018770583,5.93888002597,6.12290682957,117.009343524
9,invoice,0.0,14.308302948,0.0,27.191829123,2.0768466191,9.09207191541,0.0,13.816756367,7.267983553,2.97906681053,74.1978758638
10,invoice,0.0,8.91230878908,0.0,19.2967304604,1.52390496264,12.7778701635,0.0,19.5848598882,7.43358193482,3.71614710091,54.7777877239
11,invoice,0.0,23.0374571843,0.0,44.9816645291,7.58210964385,17.0762961821,0.0,17.9820787584,4.11680980834,4.50079198425,127.582480588
12,email,0.0,2.26316381842,0.0,73.8206911408,18.7832189995,21.4098522351,0.0,0.692640258604,4.07909144645,9.19225082787,122.32542817
13,email,0.0,5.55228853634,0.0,117.020204263,21.7774508023,13.0610640558,0.0,5.78953582737,8.62320523415,6.43350744459,113.991129405
14,invoice,0.0,14.3821545364,0.0,71.7470253337,12.1049185501,8.57621286254,0.0,31.4844424302,5.02568516785,4.22923412902,65.4038399791
15,email,0.0,6.41390174989,0.0,48.987989632,16.329072703,11.5368264054,0.0,0.0,4.61447599166,5.10989808032,106.339133451
16,email,0.0,1.5565162477,0.0,64.5131802785,11.3893250717,37.4951466394,0.0,1.34921081865,4.08851467121,7.64020909207,110.715401751
17,invoice,0.0,12.5756015567,0.0,23.8787242481,5.40945860901,4.88376512187,0.0,13.4982817076,11.6400370791,1.73354832279,28.619346276
18,email,0.0,2.1647002694,0.0,105.602478473,16.4550560398,25.1261245961,0.0,0.818297663784,3.95786729416,13.0087047908,142.726432613
19,invoice,0.0,13.7302977382,0.0,39.2505048456,9.93751054223,13.0017470745,0.0,17.0521463658,7.10136887922,4.77599374227,102.697630552
20,invoice,0.0,10.0388909537,0.0,45.1117998195,4.91913298854,10.0720178899,0.0,12.0017069965,4.45012237861,5.09842225803,77.0277913241
21,invoice,0.0,12.7573787217,0.0,37.4618186087,2.23371698094,9.25864761998,0.0,13.2239580598,6.3158453602,3.39769455717,60.125920761
22,invoice,0.0,28.68653257,0.0,64.3447985767,9.82954235507,10.4504826394,0.0,18.1036465688,8.42539568912,6.92163106764,92.3672849492
23,email,0.0,2.20587610263,0.0,53.4131393946,11.7938176571,23.475917871,0.0,0.927980386062,5.04615944403,8.73154814898,166.205048997
24,email,0.0,5.89483012528,0.0,45.7669610163,11.8916985535,11.7302673945,0.0,0.0,2.9956198499,5.64397414188,75.899271819
25,invoice,0.0,9.19417876061,0.0,62.813866108,5.05674379085,6.2219615684,0.0,11.6276202809,4.88113051238,4.68472351845,82.4466317886
26,email,0.0,7.74673396993,0.0,40.2393367365,8.41132473116,10.5539054353,0.0,0.0,4.06098753819,4.84449944493,128.049881597
27,email,0.0,4.45338866891,0.0,51.7534336283,13.2012058529,15.8479526986,0.0,0.0,1.96930333721,8.92023463853,41.013407715
28,email,0.0,5.77472999795,0.0,108.997939119,19.7540478381,6.77945209591,0.0,3.7861018453,5.86913777536,7.71132135409,79.7465866472
29,email,0.0,2.11433661109,0.0,90.7661377407,12.2250424795,42.0050180822,0.0,1.250799498,4.29444942236,8.50772897846,183.149773942
30,email,0.0,8.00432500032,0.0,81.9728140169,23.1853746114,14.5341063836,0.0,4.25439146514,8.62972855366,9.76040177242,76.9160427474
31,invoice,0.0,10.7174984807,0.0,21.2718397887,6.6895116086,6.9167850251,0.0,10.7778717327,10.6267971651,1.29832840329,33.9205598467
32,email,0.0,1.60730798706,0.0,60.4340264615,10.5261459779,31.1456010189,0.0,1.27611605802,4.41846832894,12.8495312312,156.505532226
33,invoice,0.0,21.6264405326,0.0,44.3507052501,3.25811652175,11.1683080196,0.0,27.0127618404,5.63846254276,4.14270407231,55.3262307261
34,invoice,0.0,14.8073218118,0.0,20.6512179332,5.19687218174,6.90022079909,0.0,14.2186261363,11.301520212,1.44247560308,35.2118902929
35,email,0.0,6.68411906055,0.0,94.4131363875,28.3089477429,11.2391446409,0.0,3.38248755454,4.72983971497,6.42603532269,112.545496934
36,invoice,0.0,15.8488918683,0.0,12.9195326196,4.61341879315,9.7485713796,0.0,17.3851147052,20.2982868956,1.98613068169,69.0642058203
37,email,0.0,7.35375287611,0.0,81.3651415002,9.5644868553,8.52366321637,0.0,0.0,3.94053472283,6.61682992742,84.804692746
38,invoice,0.0,9.83198714283,0.0,32.6669648298,1.97832073724,7.43385177025,0.0,12.1104842024,5.38650507018,3.49099260978,47.5507824048
39,invoice,0.0,8.82378808739,0.0,49.49950554,7.21821258718,5.4170552431,0.0,14.8341844191,4.82331194298,3.99098902925,99.0170032996
40,invoice,0.0,10.1111071462,0.0,17.2592721602,7.1634869954,11.6435242058,0.0,8.68591798969,14.7205804797,1.65047570552,68.0530186473
41,email,0.0,1.75618628029,0.0,98.4925947827,13.4872359396,32.9089047496,0.0,0.603323292787,3.83403836518,18.8678686496,144.861555321
42,invoice,0.0,13.7487472662,0.0,20.0560628915,5.25926810635,9.93931817666,0.0,8.04648325542,10.4634015825,2.27458887672,47.0233201838
43,email,0.0,2.59257287602,0.0,109.918917399,20.1103864699,16.5295455331,0.0,0.48726970384,5.91061857451,15.7804685053,72.9547281917
44,email,0.0,6.68798977102,0.0,64.1296240373,9.87908056638,14.1701908379,0.0,0.0,1.73543796403,7.59393839374,83.2688116442
45,invoice,0.0,14.2733871411,0.0,59.6132351645,3.43192648508,15.3912268174,0.0,20.3549200488,9.4995250259,2.47591488476,63.5353458157
46,email,0.0,5.21694916005,0.0,29.7560877547,15.4223085927,8.64885821344,0.0,0.0,4.06866001822,6.53783147897,64.8287125104
47,email,0.0,11.5797866397,0.0,27.6090409378,14.4197123688,9.01765265558,0.0,0.0,4.71298634236,5.38538583968,126.078070568
48,invoice,0.0,11.3701609689,0.0,17.7624581203,7.71862278039,11.0942561847,0.0,11.9808342005,12.205007606,1.6899562458,69.8830046132
49,invoice,0.0,19.3924227692,0.0,18.0324282818,4.63167148058,8.52022519597,0.0,13.1652060499,17.0294931068,2.53791834144,37.8149435932
50,email,0.0,6.28143304583,0.0,58.0011972687,9.12850445502,9.4046313842,0.0,0.0,6.23455759818,8.5913625484,77.3584366061
51,invoice,0.0,16.0725122818,0.0,43.4536818979,11.3471915996,14.7001210845,0.0,22.1891769439,6.31145126852,4.98853922445,107.969019132
52,email,0.0,9.27795678421,0.0,125.252784362,14.0470267967,54.8619595821,1.03466512204,9.0773305191,5.96101175919,3.92712244096,299.575882816
53,email,0.0,1.59406404335,0.0,120.057372445,12.0162412738,44.1208215513,0.0,0.86478602142,4.55217433148,11.6122663309,132.314330357
54,invoice,0.0,5.98364834706,0.0,51.3314502828,7.87031545283,10.0340431642,0.0,14.1021006238,3.58684398351,2.48558833334,70.4719530141
55,invoice,0.0,6.79706109826,0.0,33.3242069557,5.36509125179,4.68025204619,0.0,21.7295591233,8.68252290909,3.41931641799,96.4814579458
56,invoice,0.0,6.09761496473,0.0,52.3440697053,4.16141199249,5.64575142139,0.0,15.877891467,7.77232363109,4.12908586253,77.875626543
57,email,0.0,1.36806734169,0.0,56.0207223104,10.2685726624,45.3689582727,0.0,1.03084816539,6.77128008783,12.5660618712,142.588332187
58,email,0.0,10.7168212671,0.0,80.9921809897,6.63847389541,8.73436264401,0.0,0.0,3.13146604923,8.00050487345,104.581293178
59,email,0.0,6.80583134156,0.0,63.8110290355,9.55982421055,10.1761561474,0.0,0.0,4.44309069062,7.01416614953,99.5952971679
60,invoice,0.0,17.9834050355,0.0,40.9372634981,8.39889705378,12.5700148654,0.0,30.1664780673,5.50075883871,4.38102168947,98.6848673376
61,email,0.0,1.95944059877,0.0,46.7512991387,10.1169244032,59.2510581666,0.0,0.662792834438,4.15153381922,12.6185293708,115.708382014
62,invoice,0.0,9.30077335162,0.0,22.3843456248,4.28941991895,9.63084379296,0.0,7.71534527543,17.5127241315,2.28418859615,38.5742151856
63,email,0.0,8.24268942011,0.0,42.1915124782,10.052746582,8.4152713769,0.0,0.0,5.63571711786,3.02032062968,104.414312663
64,invoice,0.0,16.8509027205,0.0,56.0369196381,9.46791967079,12.9354986481,0.0,31.0479141085,6.30067016489,6.27099036857,58.2266320406
65,email,0.0,2.70937047275,0.0,79.8734594874,10.0769075121,28.9252276097,0.0,0.582579523,4.15757853429,17.5039279201,131.944993378
66,invoice,0.0,17.4513338934,0.0,50.144272378,8.76977326275,13.1208494635,0.0,18.7326577496,8.17076411586,4.6294271574,111.272693224
67,invoice,0.0,12.3401487318,0.0,24.509320464,2.15505005766,7.20832763601,0.0,14.9213370158,5.13009102745,3.80227283168,37.8564485978
